Station Name,OTTAWA INTL A,http://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2011-12-14%7C2019-02-11&dlyRange=2011-12-15%7C2019-02-11&mlyRange=%7C&StationID=49568&Prov=ON&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=14&searchMethod=contains&Month=12&Day=12&txtStationName=ottawa&timeframe=2&Year=2018,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2015,2015,5,3,,26.5,,9.3,,17.9,,0.1,,0,,0,,0,,0,,,,21,,41,
04/05/2015,2015,5,4,,28.4,,10.4,,19.4,,0,,1.4,,1.8,,0,,1.8,,,,24,,74,
05/05/2015,2015,5,5,,20.1,,7.5,,13.8,,4.2,,0,,0,,0,,0,,,,32,,43,
06/05/2015,2015,5,6,,24.6,,4.3,,14.5,,3.5,,0,,0,,0,,0,,,,31,,39,
07/05/2015,2015,5,7,,27.6,,8.9,,18.3,,0,,0.3,,0,,0,,0,,,,19,,33,
08/05/2015,2015,5,8,,30.7,,12.2,,21.5,,0,,3.5,,0,,0,,0,,,,17,,37,
09/05/2015,2015,5,9,,29.6,,16.7,,23.2,,0,,5.2,,0.2,,0,,0.2,,,,32,,52,
10/05/2015,2015,5,10,,20.8,,12.3,,16.6,,1.4,,0,,2.6,,0,,2.6,,,,36,,32,
11/05/2015,2015,5,11,,12.3,,7.6,,10,,8,,0,,6,,0,,6,,,,7,,52,
12/05/2015,2015,5,12,,22.8,,7.7,,15.3,,2.7,,0,,5.2,,0,,5.2,,,,26,,63,
13/05/2015,2015,5,13,,16.7,,5.7,,11.2,,6.8,,0,,0.2,,0,,0.2,,,,1,,48,
14/05/2015,2015,5,14,,19.4,,1.6,,10.5,,7.5,,0,,0,,0,,0,,,,27,,35,
15/05/2015,2015,5,15,,20.8,,4.8,,12.8,,5.2,,0,,0.4,,0,,0.4,,,,,,<31,
16/05/2015,2015,5,16,,21.1,,13,,17.1,,0.9,,0,,0,,0,,0,,,,,,<31,
17/05/2015,2015,5,17,,24.8,,9.7,,17.3,,0.7,,0,,0,,0,,0,,,,,,<31,
18/05/2015,2015,5,18,,29.4,,10.7,,20.1,,0,,2.1,,1.6,,0,,1.6,,,,22,,50,
19/05/2015,2015,5,19,,26.6,,9.1,,17.9,,0.1,,0,,0,T,0,,0,T,,,28,,69,
20/05/2015,2015,5,20,,15.3,,4.1,,9.7,,8.3,,0,,0,,0,,0,,,,27,,52,
21/05/2015,2015,5,21,,20.6,,6.2,,13.4,,4.6,,0,,0,T,0,,0,T,,,24,,44,
22/05/2015,2015,5,22,,11.6,,-0.9,,5.4,,12.6,,0,,0,,0,,0,,,,28,,56,
23/05/2015,2015,5,23,,17.9,,-2.8,,7.6,,10.4,,0,,0,,0,,0,,,,27,,48,
24/05/2015,2015,5,24,,28.9,,9.1,,19,,0,,1,,0,,0,,0,,,,24,,54,
25/05/2015,2015,5,25,,18.9,,14.2,,16.6,,1.4,,0,,23.8,,0,,23.8,,,,,,<31,
26/05/2015,2015,5,26,,29.5,,16,,22.8,,0,,4.8,,0,,0,,0,,,,22,,46,
27/05/2015,2015,5,27,,28.1,,18.1,,23.1,,0,,5.1,,0,T,0,,0,T,,,22,,54,
28/05/2015,2015,5,28,,23,,10.5,,16.8,,1.2,,0,,1.2,,0,,1.2,,,,34,,48,
29/05/2015,2015,5,29,,26.5,,8.6,,17.6,,0.4,,0,,0,,0,,0,,,,,,<31,
30/05/2015,2015,5,30,,29.4,,10.4,,19.9,,0,,1.9,,17.4,,0,,17.4,,,,22,,65,
31/05/2015,2015,5,31,,13.8,,7.4,,10.6,,7.4,,0,,1.8,,0,,1.8,,,,36,,43,
01/06/2015,2015,6,1,,17.4,,8.1,,12.8,,5.2,,0,,0,T,0,,0,T,,,7,,48,
02/06/2015,2015,6,2,,16.5,,5.8,,11.2,,6.8,,0,,0.6,,0,,0.6,,,,,,<31,
03/06/2015,2015,6,3,,20.8,,5,,12.9,,5.1,,0,,0,,0,,0,,,,17,,32,
04/06/2015,2015,6,4,,26,,7.3,,16.7,,1.3,,0,,0,T,0,,0,T,,,15,,37,
05/06/2015,2015,6,5,,23.4,,12.6,,18,,0,,0,,0.8,,0,,0.8,,,,36,,43,
06/06/2015,2015,6,6,,19.7,,6.4,,13.1,,4.9,,0,,0,,0,,0,,,,36,,50,
07/06/2015,2015,6,7,,24.1,,3.5,,13.8,,4.2,,0,,3,,0,,3,,,,16,,35,
08/06/2015,2015,6,8,,21.9,,15.7,,18.8,,0,,0.8,,16.2,,0,,16.2,,,,17,,48,
09/06/2015,2015,6,9,,19,,12.9,,16,,2,,0,,3.6,,0,,3.6,,,,,,<31,
10/06/2015,2015,6,10,,23.6,,12.8,,18.2,,0,,0.2,,12.4,,0,,12.4,,,,19,,39,
11/06/2015,2015,6,11,,24.4,,13.7,,19.1,,0,,1.1,,0,T,0,,0,T,,,23,,43,
12/06/2015,2015,6,12,,18.9,,12.5,,15.7,,2.3,,0,,16.6,,0,,16.6,,,,,,<31,
13/06/2015,2015,6,13,,26.4,,11.3,,18.9,,0,,0.9,,0,,0,,0,,,,28,,39,
14/06/2015,2015,6,14,,22.4,,13.4,,17.9,,0.1,,0,,1,,0,,1,,,,6,,35,
15/06/2015,2015,6,15,,26.8,,14.3,,20.6,,0,,2.6,,0,T,0,,0,T,,,,,<31,
16/06/2015,2015,6,16,,25.7,,12.3,,19,,0,,1,,16.6,,0,,16.6,,,,32,,52,
17/06/2015,2015,6,17,,22.3,,8.9,,15.6,,2.4,,0,,0,,0,,0,,,,,,<31,
18/06/2015,2015,6,18,,27.6,,11.7,,19.7,,0,,1.7,,7,,0,,7,,,,26,,50,
19/06/2015,2015,6,19,,20.7,,9.4,,15.1,,2.9,,0,,0,,0,,0,,,,1,,48,
20/06/2015,2015,6,20,,25.4,,7.3,,16.4,,1.6,,0,,0,,0,,0,,,,,,<31,
21/06/2015,2015,6,21,,26.9,,16.9,,21.9,,0,,3.9,,4,,0,,4,,,,33,,37,
22/06/2015,2015,6,22,,27.8,,15.4,,21.6,,0,,3.6,,0,T,0,,0,T,,,,,<31,
23/06/2015,2015,6,23,,28.3,,14.8,,21.6,,0,,3.6,,1.8,,0,,1.8,,,,29,,80,
24/06/2015,2015,6,24,,25.2,,12.4,,18.8,,0,,0.8,,0,,0,,0,,,,30,,46,
25/06/2015,2015,6,25,,23.3,,10.7,,17,,1,,0,,0,,0,,0,,,,29,,33,
26/06/2015,2015,6,26,,26.2,,9.1,,17.7,,0.3,,0,,0,,0,,0,,,,31,,35,
27/06/2015,2015,6,27,,23.1,,11,,17.1,,0.9,,0,,0,T,0,,0,T,,,,,<31,
28/06/2015,2015,6,28,,15.7,,12.7,,14.2,,3.8,,0,,9.4,,0,,9.4,,,,6,,48,
29/06/2015,2015,6,29,,22.9,,12.2,,17.6,,0.4,,0,,7.4,,0,,7.4,,,,,,<31,
30/06/2015,2015,6,30,,24.1,,12,,18.1,,0,,0.1,,0,T,0,,0,T,,,14,,35,
01/07/2015,2015,7,1,,22.5,,12.4,,17.5,,0.5,,0,,11.2,,0,,11.2,,,,27,,52,
02/07/2015,2015,7,2,,22.5,,9.7,,16.1,,1.9,,0,,0,,0,,0,,,,28,,44,
03/07/2015,2015,7,3,,25.1,,8.7,,16.9,,1.1,,0,,0,,0,,0,,,,,,<31,
04/07/2015,2015,7,4,,26,,9.9,,18,,0,,0,,0,,0,,0,,,,,,<31,
05/07/2015,2015,7,5,,27,,13.9,,20.5,,0,,2.5,,0,,0,,0,,,,31,,37,
06/07/2015,2015,7,6,,28.6,,12.6,,20.6,,0,,2.6,,0,,0,,0,,,,,,<31,
07/07/2015,2015,7,7,,30,,15,,22.5,,0,,4.5,,9.2,,0,,9.2,,,,20,,48,
08/07/2015,2015,7,8,,24.8,,12.6,,18.7,,0,,0.7,,0,,0,,0,,,,32,,35,
09/07/2015,2015,7,9,,22.9,,12.9,,17.9,,0.1,,0,,0,,0,,0,,,,,,<31,
10/07/2015,2015,7,10,,28.3,,12.2,,20.3,,0,,2.3,,0,,0,,0,,,,34,,46,
11/07/2015,2015,7,11,,31,,15.3,,23.2,,0,,5.2,,0,,0,,0,,,,22,,37,
12/07/2015,2015,7,12,,30.5,,18.4,,24.5,,0,,6.5,,0,,0,,0,,,,9,,37,
13/07/2015,2015,7,13,,30.6,,15.6,,23.1,,0,,5.1,,0,,0,,0,,,,15,,39,
14/07/2015,2015,7,14,,26.7,,13.3,,20,,0,,2,,0.6,,0,,0.6,,,,34,,52,
15/07/2015,2015,7,15,,21.6,,9.7,,15.7,,2.3,,0,,0,,0,,0,,,,2,,52,
16/07/2015,2015,7,16,,24.3,,9.4,,16.9,,1.1,,0,,0,,0,,0,,,,,,<31,
17/07/2015,2015,7,17,,23,,8.4,,15.7,,2.3,,0,,13,,0,,13,,,,16,,32,
18/07/2015,2015,7,18,,28.8,,17.3,,23.1,,0,,5.1,,0,T,0,,0,T,,,29,,35,
19/07/2015,2015,7,19,,31.7,,18.4,,25.1,,0,,7.1,,0.2,,0,,0.2,,,,20,,50,
20/07/2015,2015,7,20,,29.3,,16.6,,23,,0,,5,,0,,0,,0,,,,20,,41,
21/07/2015,2015,7,21,,26.9,,14.7,,20.8,,0,,2.8,,1,,0,,1,,,,29,,52,
22/07/2015,2015,7,22,,24.3,,15.3,,19.8,,0,,1.8,,0,,0,,0,,,,27,,43,
23/07/2015,2015,7,23,,25.5,,13.3,,19.4,,0,,1.4,,0,,0,,0,,,,30,,43,
24/07/2015,2015,7,24,,26.1,,14.3,,20.2,,0,,2.2,,0,,0,,0,,,,,,<31,
25/07/2015,2015,7,25,,26.4,,14.9,,20.7,,0,,2.7,,5.6,,0,,5.6,,,,18,,35,
26/07/2015,2015,7,26,,29.1,,18.9,,24,,0,,6,,0,T,0,,0,T,,,,,<31,
27/07/2015,2015,7,27,,31.8,,18.3,,25.1,,0,,7.1,,0,T,0,,0,T,,,21,,41,
28/07/2015,2015,7,28,,33.9,,16.6,,25.3,,0,,7.3,,0,,0,,0,,,,29,,33,
29/07/2015,2015,7,29,,34.3,,19.8,,27.1,,0,,9.1,,0,,0,,0,,,,17,,35,
30/07/2015,2015,7,30,,30.7,,18.4,,24.6,,0,,6.6,,0,T,0,,0,T,,,25,,41,
31/07/2015,2015,7,31,,28.5,,16.2,,22.4,,0,,4.4,,0,T,0,,0,T,,,23,,57,
01/08/2015,2015,8,1,,26.6,,13.9,,20.3,,0,,2.3,,0,,0,,0,,,,27,,39,
02/08/2015,2015,8,2,,28.6,,13.6,,21.1,,0,,3.1,,4.8,,0,,4.8,,,,20,,50,
